vaultName,Total Supply at Start,Total Borrowed at Start,Total Supply at End,Total Borrowed at End,Change in Supply %,Change in Borrow %
ionAEROb,27746.4,21824.32,151194.98,108256.09,444.92,396.03
ionEURCb,0,0,54986.03,44965.28,,
ionLUSDo,21.76,4.12,21.59,4.09,-0.79,-0.79
ionMBTCm,143630679.2,203019.9,97489263.16,448571.42,-32.13,120.95
ionMODEmi,190275.1,112169.49,348197.36,262956.69,83,134.43
ionOGNb,0,0,11161.59,0,,0
ionOPo,1353.01,4.8,133274.4,2349.19,9750.24,48850.58
ionRSRb,491009.36,0,841031.35,157957.89,71.29,
ionSNXo,14.09,1.68,131746.76,42678.81,934828.92,2546301.87
ionSTONEm,483914.78,33548.77,596479.99,33681.75,23.26,0.4
ionUSDCb,449555.06,298827.29,1616370.2,1282321.89,259.55,329.12
ionUSDCm,1082838.59,908723.17,2322524.55,1856110.84,114.48,104.25
ionUSDCmi,105773.98,4208.74,256488.21,21561.87,142.49,412.31
ionUSDCo,69.24,1.27,68313.38,23030.15,98554.91,1819053.82
ionUSDTm,716197.31,322849.17,550041.26,450179.28,-23.2,39.44
ionUSDTmi,117549.97,14292.51,106674.54,6239.42,-9.25,-56.34
ionUSDTo,390.7,2.51,38.93,20.19,-90.04,705.36
ionUSDem,173.18,10.02,126.1,98.45,-27.19,882.42
ionUSDplusb,0,0,2305.56,2176.1,,
ionUSDzb,0,0,305855.57,205218.79,,
ionWBTCm,1275391.63,71452.09,1155481.68,98588.21,-9.4,37.98
ionWBTCo,18.34,2.05,29.75,3.33,62.15,62.15
ionWETHb,552328.94,381637.63,2126218.97,1066271.88,284.96,179.39
ionWETHm,7022482.4,4937377.44,5334383.29,4576641.59,-24.04,-7.31
ionWETHmi,112431.79,17073.9,100857.15,27076.63,-10.29,58.58
ionWETHo,42.37,0,143267.14,120318.17,338008.78,
ionbsdETH,232193.99,168506.53,909991.81,331317.98,291.91,96.62
ioncbBTCb,32.03,0,253435.17,17211.09,791086.99,
ioncbETHb,87.12,0.35,123997.36,377.01,142233.26,106784.57
ioneUSDb,186083.19,150027.15,966716.01,786663.34,419.51,424.35
ionezETHb,28446.85,0,52047.16,0,82.96,0
ionezETHm,10245893.51,1217740.69,8456063.39,1723380.79,-17.47,41.52
ionhyUSD,110249.35,79151.47,290818.17,242512.2,163.78,206.39
ionmsDAIm,24.63,5,24.59,5,-0.16,-0.16
ionsUSDem,22.36,0,68.91,37.71,208.21,
ionsUSDzb,0,0,128850.19,41081.69,,
ionuSOLb,0,0,194177.37,53606.18,,
ionuSUIb,0,0,-652874.27,61654.4,,
ionwUSDMb,0,0,81729.61,66426.25,,
ionwUSDMo,0,0,26066.54,10029.76,,
ionwUSDplusb,0,0,110642.06,0,,0
ionweETH,0,0,53939.4,1791.49,,
ionweETH_OLDm,129529.48,79435.41,123259.89,67051.89,-4.84,-15.59
ionweETHb,87364.37,31297.9,220749.73,7342.87,152.68,-76.54
ionweETHm,2561222.09,583364.4,1034952.66,243529.51,-59.59,-58.25
ionwrsETHm,1647966.97,590703.64,1023550.08,63053.96,-37.89,-89.33
ionwstETHb,1698.25,444.57,1061070.67,61287.22,62380.28,13685.59
ionwstETHo,13.21,0.87,24.2,1.23,83.21,41.22
ionwsuperOETHb,0,0,955172.93,25.65,,