vaultName,Total Supply at Start,Total Borrowed at Start,Total Supply at End,Total Borrowed at End,Change in Supply %,Change in Borrow %,network,Initial_Utilization,Final_Utilization,Avg_Borrow_Amount,Avg_Utilization,Borrow_Rate,Period_Interest,Period_Revenue,Annual_Interest,Annual_Revenue,Effective_Borrow_APR,Supply_APR
ionAEROb,27746.4,21824.32,302913.26,181433.46,991.72,731.34,Base,0.7865640227200645,0.5989617621889514,62925.844370554136,0.6863831095844655,0.12354895972520379,1916.9809179810495,191.69809179810497,7774.422611812034,777.4422611812034,12.354895972520378,7.6321727245900135
ionEURCb,0.0,0.0,50064.93,40918.39,,,Base,0.0,0.8173064458494199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionLUSDo,21.76,4.12,21.63,4.1,-0.57,-0.57,Optimism,0.18933823529411764,0.18955154877484973,4.109987834531873,0.18944486201081548,0.03410007516194678,0.03455775470274011,0.0034557754702740115,0.14015089407222378,0.014015089407222379,3.4100075161946783,0.58140756302521
ionMBTCm,143630679.2,203019.9,99852946.33,674765.7,-30.48,232.36,Mode,0.001413485622506198,0.006757594290407755,370122.77008775075,0.0030905925600475605,0.0005563066608085609,50.770297557550194,5.07702975575502,205.90176231673132,20.590176231673134,0.05563066608085609,0.00015473855042998563
ionMODEmi,190275.1,112169.49,789992.84,541561.62,315.18,382.81,Mode,0.589512185251775,0.6855272511077443,246468.4375715759,0.6357095782274863,0.11442772408094753,6954.120584162268,695.4120584162268,28202.82236910253,2820.2822369102532,11.442772408094754,6.54685201917273
ionOGNb,0.0,0.0,14517.92,0.0,,0.0,Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionOPo,1353.01,4.8,160533.23,2814.27,11764.92,58541.57,Optimism,0.003547645619766299,0.01753076294546618,116.22605559856189,0.007886249702782967,0.001419524946500934,0.04068142652602926,0.004068142652602926,0.16498578535556313,0.016498578535556314,0.1419524946500934,0.0010075255368692398
ionRSRb,491009.36,0.0,2045614.24,316654.2,316.61,,Base,0.0,0.1547966345795481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionSNXo,14.09,1.68,189751.75,66477.06,1346456.12,3966208.57,Optimism,0.11923349893541518,0.3503370061145681,334.1877627921166,0.20438176788940324,0.03678871822009258,3.031480957305777,0.3031480957305777,12.294339437962318,1.2294339437962318,3.678871822009258,0.6767048941386861
ionSTONEm,483914.78,33548.77,572109.01,24239.87,18.23,-27.75,Mode,0.06932784735361874,0.042369320490163224,28516.974304085976,0.05419754407183583,0.00975555793293045,68.59701243996157,6.859701243996158,278.1989948953997,27.819899489539974,0.975555793293045,0.04758545529138111
ionUSDCb,449555.06,298827.29,1817789.35,1462658.59,304.35,389.47,Base,0.6647178879490312,0.804635911196201,661122.0028443473,0.731338419241245,0.1316409154634241,21459.62605991729,2145.962605991729,87030.70568744234,8703.070568744235,13.16409154634241,8.664665312024185
ionUSDCm,1082838.59,908723.17,1573296.2,1388527.4,45.29,52.8,Mode,0.8392046408320191,0.8825594315933643,1123292.9362191583,0.8606090696728801,0.3864362786915202,107033.70628430202,10703.370628430202,434081.1421530027,43408.11421530027,38.64362786915202,29.93135096633031
ionUSDCmi,105773.98,4208.74,608877.68,38204.79,475.64,807.75,Mode,0.03978993699584718,0.0627462481462615,12680.458503721386,0.04996668150343324,0.008994002670617982,28.121443803402077,2.8121443803402077,114.04807764713064,11.404807764713064,0.8994002670617982,0.0404460420195417
ionUSDCo,69.24,1.27,39454.93,26065.92,56878.93,2058849.64,Optimism,0.0183419988445985,0.6606505194661351,181.94427278702673,0.11008020287377403,0.019814436517279325,0.8889344982298586,0.08889344982298586,3.6051232428210933,0.36051232428210933,1.9814436517279326,0.19630594724864622
ionUSDTm,716197.31,322849.17,568118.72,483236.77,-20.68,49.68,Mode,0.4507824387109189,0.8505911757317204,394984.29096355324,0.6192185111431446,0.11145933200576603,10855.401835948465,1085.5401835948467,44024.68522356878,4402.468522356878,11.145933200576604,6.2115913455857905
ionUSDTmi,117549.97,14292.51,207368.37,8589.53,76.41,-39.9,Mode,0.12158667501148661,0.04142160156826232,11079.979396203767,0.07096699802257099,0.012774059644062778,34.8993659988724,3.48993659988724,141.5363176620936,14.153631766209362,1.2774059644062778,0.08158829989503665
ionUSDTo,390.7,2.51,30.33,27.99,-92.24,1016.15,Optimism,0.006424366521627847,0.9228486646884273,8.381819611516343,0.07699816923767275,0.013859670462781094,0.028644474499913187,0.002864447449991319,0.11616925769409236,0.011616925769409238,1.3859670462781093,0.09604523266844335
ionUSDem,173.18,10.02,126.12,98.46,-27.18,882.57,Mode,0.057858875158794315,0.7806850618458611,31.409699138960246,0.21253131423786775,0.03825563656281619,0.29628444693882666,0.029628444693882667,1.2015980348074637,0.12015980348074638,3.825563656281619,0.7317468644131395
ionUSDplusb,0.0,0.0,977.61,838.8,,,Base,0.0,0.8580108632276674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionUSDzb,0.0,0.0,312313.72,249038.73,,,Base,0.0,0.7973992625107857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionWBTCm,1275391.63,71452.09,408963.78,296388.4,-67.93,314.81,Mode,0.05602364663472035,0.7247301949331552,145525.15463573986,0.20149944999043318,0.03626990099827797,1301.4697688377096,130.14697688377098,5278.182951397377,527.8182951397378,3.626990099827797,0.6577528592124426
ionWBTCo,18.34,2.05,30.46,3.41,66.06,66.06,Base,0.11177753544165757,0.11195009848982272,2.643955370273863,0.11186378369089442,0.020135481064360996,0.013127008757218752,0.0013127008757218752,0.053237313293164945,0.005323731329316495,2.0135481064360996,0.20271879884662014
ionWETHb,552328.94,381637.63,1727416.39,1078248.94,212.75,182.53,Base,0.6909607705871795,0.6241974698410729,641482.9460021616,0.6567312728658165,0.11821162911584696,18697.99169513796,1869.7991695137962,75830.7440969484,7583.07440969484,11.821162911584695,6.986994629111279
ionWETHm,7022482.4,4937377.44,6053717.75,4369536.66,-13.8,-11.5,Mode,0.7030814972209828,0.7217939191168931,4644787.586998673,0.7123762694936617,0.1282277285088591,146857.94671733867,14685.794671733867,595590.5616869846,59559.056168698466,12.822772850885912,8.22117517927084
ionWETHmi,112431.79,17073.9,202620.11,44730.97,80.22,161.98,Mode,0.1518600744504735,0.22076273672934046,27635.703513444343,0.1830984588564522,0.032957722594161395,224.58325070726877,22.45832507072688,910.80985009059,91.080985009059,3.2957722594161396,0.5431057392968482
ionWETHo,42.37,0.0,47471.43,11818.33,111932.01,,Optimism,0.0,0.2489566882649206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionbsdETH,232193.99,168506.53,704264.37,434123.89,203.31,157.63,Base,0.7257144338662684,0.6164217707052254,270467.5771585232,0.6688394249370961,0.1203910964886773,8028.958729006982,802.8958729006982,32561.888178750538,3256.188817875054,12.03910964886773,7.247008056873004
ioncbBTCb,32.03,0.0,263099.95,12753.72,821259.0,,Base,0.0,0.04847480966834087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ioncbETHb,87.12,0.35,54222.15,3542.6,62140.16,1004247.52,Base,0.004017447199265381,0.06533492308954919,35.21235578600216,0.016201222292787927,0.0029162200127018268,0.02532007643116844,0.0025320076431168442,0.10268697663751646,0.010268697663751646,0.2916220012701827,0.004252169581241322
ioneUSDb,186083.19,150027.15,1109548.1,908402.0,496.26,505.49,Base,0.8062369846518646,0.8187134924569741,369167.93348596786,0.8124512892797376,0.19380515711895038,17641.63956637633,1764.163956637633,71546.64935252622,7154.664935252622,19.38051571189504,14.171152479331802
ionezETHb,28446.85,0.0,22463.94,0.0,-21.03,0.0,Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionezETHm,10245893.51,1217740.69,8013071.38,2039886.2,-21.79,67.51,Mode,0.11885158564370049,0.2545698276308129,1576087.6970237023,0.1739425987817982,0.03130966778072368,12167.69971736663,1216.769971736663,49346.782187098,4934.6782187098,3.130966778072368,0.49014764826964324
ionhyUSD,110249.35,79151.47,357314.68,286305.58,224.1,261.72,Optimism,0.7179313982350009,0.8012701297355038,150537.39577328486,0.7584569761067208,0.13652225569920973,5067.5436586981305,506.75436586981306,20551.70483805353,2055.1704838053533,13.652225569920972,9.319163150600202
ionmsDAIm,24.63,5.0,24.6,5.0,-0.11,-0.11,Mode,0.20300446609825418,0.2032520325203252,5.0,0.20312821159349978,0.03656307808682996,0.04507776750431091,0.004507776750431091,0.1828153904341498,0.01828153904341498,3.656307808682996,0.6684293395918126
ionsUSDem,22.36,0.0,761.15,57.24,3304.6,,Mode,0.0,0.0752019969782566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionsUSDzb,0.0,0.0,144813.91,50415.37,,,Base,0.0,0.3481390012879288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionuSOLb,0.0,0.0,173895.18,53887.91,,,Base,0.0,0.3098873125753112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionuSUIb,0.0,0.0,-879869.3,86601.95,,,Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionwUSDMb,0.0,0.0,29970.59,24381.86,,,Mode,0.0,0.813526193511706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionwUSDMo,0.0,0.0,11334.84,5364.15,,,Mode,0.0,0.4732444392686619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionwUSDplusb,0.0,0.0,110685.13,0.0,,0.0,Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionweETH,0.0,0.0,44712.64,7965.28,,,Optimism,0.0,0.17814380899897658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ionweETH_OLDm,129529.48,79435.41,149574.56,77633.11,15.48,-2.27,Mode,0.6132612436952577,0.5190261632726849,78529.08965743268,0.5641796082800092,0.10155232949040166,1966.391996911125,196.6391996911125,7974.811987472895,797.4811987472896,10.155232949040165,5.156437812463552
ionweETHb,87364.37,31297.9,247596.88,3175.55,183.41,-89.85,Base,0.358245586845072,0.012825484715316283,9969.355362559809,0.0677840194914036,0.012201123508452648,29.992767800115686,2.9992767800115687,121.63733607824696,12.163733607824696,1.2201123508452647,0.07443370743425792
ionweETHm,2561222.09,583364.4,1049418.86,211506.06,-59.03,-63.74,Mode,0.22776798711743113,0.20154589179005222,351262.16105391143,0.21425615996934086,0.03856610879448135,3340.3104785563837,334.0310478556384,13546.814718589778,1354.6814718589778,3.856610879448135,0.7436723737738861
ionwrsETHm,1647966.97,590703.64,902356.84,76975.38,-45.24,-86.97,Mode,0.35844385885962265,0.08530481134270562,213236.10659638108,0.1748627626367933,0.03147529727462279,1654.9322904996777,165.4932290499678,6711.669844804248,671.1669844804248,3.147529727462279,0.4953471692629384
ionwstETHb,1698.25,444.57,85135.54,19418.08,4913.14,4267.79,Base,0.2617812453996761,0.22808429945942674,2938.1449633399643,0.24435259763014883,0.04398346757342679,31.864883109310004,3.1864883109310007,129.22980372109058,12.922980372109059,4.398346757342679,0.9672727098913431
ionwstETHo,13.21,0.87,50.8,23.62,284.56,2611.65,Optimism,0.06585919757759273,0.4649606299212599,4.533144603914594,0.17499123975726966,0.03149842315630854,0.035207730483987586,0.0035207730483987586,0.14278690696283855,0.014278690696283855,3.149842315630854,0.49607533066693704
ionwsuperOETHb,0.0,0.0,1469037.75,30.31,,,Base,0.0,2.0632553520152902e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
